"FATALITY_ID","EVENT_ID","FATALITY_DATE","FATALITY_AGE","FATALITY_SEX","FATALITY_LOCATION","FATALITY_MONTH"
41107,891279,2020-04-24,16,"M","In Water","April"
41201,897962,2020-01-14,44,"M","Boating","January"
41202,897962,2020-01-14,57,"M","Boating","January"
41203,897962,2020-01-14,59,"M","Boating","January"
41291,871629,2020-01-11,51,"M","Mobile/Trailer Home","January"
41292,871629,2020-01-11,85,"M","Mobile/Trailer Home","January"
40984,883722,2020-03-07,NA,"F","Outside/Open Areas","March"
40781,877285,2020-02-06,80,"F","Vehicle/Towed Trailer","February"
41293,871629,2020-01-11,75,"F","Mobile/Trailer Home","January"
40839,881954,2020-04-07,NA,"","Unknown","April"
41038,889030,2020-04-22,29,"M","Unknown","April"
41039,889030,2020-04-22,27,"F","Unknown","April"
41040,889030,2020-04-22,NA,"M","Unknown","April"
41294,878237,2020-02-06,54,"F","Mobile/Trailer Home","February"
41286,879197,2020-03-20,NA,"F","In Water","March"
41287,879197,2020-03-20,17,"M","In Water","March"
41501,917518,2020-09-03,81,"F","Permanent Home","September"
41502,917518,2020-09-03,72,"M","Permanent Home","September"
42014,923091,2020-11-15,43,"M","Boating","November"
41234,901386,2020-01-17,34,"M","Outside/Open Areas","January"
42015,923091,2020-11-15,60,"M","Boating","November"
41866,923169,2020-11-24,NA,"","Vehicle/Towed Trailer","November"
41288,909156,2020-03-28,38,"M","In Water","March"
41503,917518,2020-08-28,31,"M","Permanent Home","August"
41506,917518,2020-09-03,84,"M","Permanent Home","September"
41508,917518,2020-09-07,49,"M","Permanent Home","September"
41504,917518,2020-09-04,59,"M","Under Tree","September"
41509,917518,2020-10-03,29,"M","Vehicle/Towed Trailer","October"
41471,917655,2020-08-29,54,"F","In Water","August"
41467,917670,2020-08-11,61,"M","Outside/Open Areas","August"
41468,917682,2020-08-18,52,"M","Other","August"
41916,924168,2020-11-19,51,"M","Vehicle/Towed Trailer","November"
41918,924366,2020-11-26,4,"F","In Water","November"
41511,918078,2020-08-30,36,"M","Outside/Open Areas","August"
41512,918078,2020-08-31,80,"M","Permanent Home","August"
41510,918079,2020-08-27,14,"F","Permanent Home","August"
41519,918080,2020-08-27,64,"F","Permanent Home","August"
41520,918080,2020-08-28,84,"M","Permanent Home","August"
41521,918080,2020-08-28,80,"F","Permanent Home","August"
41525,918081,2020-08-27,68,"M","Permanent Home","August"
41517,918083,2020-09-08,49,"M","Mobile/Trailer Home","September"
