"STATE","FLOOD_CAUSE","BEGIN_DATE_TIME","END_DATE_TIME"
"Alaska","Heavy Rain / Snow Melt","2020/12/1","2020/12/2"
"Alaska","Heavy Rain / Snow Melt","2020/12/1","2020/12/3"
"Virginia","Heavy Rain","2020/10/2","2020/10/3"
"New Mexico","Heavy Rain","2020/7/24","2020/7/24"
"Maryland","Heavy Rain","2020/10/2","2020/10/2"
"Maryland","Heavy Rain","2020/10/2","2020/10/3"
"Maryland","Heavy Rain","2020/10/3","2020/10/3"
"Kentucky","Heavy Rain","2020/1/1","2020/1/9"
"Missouri","Heavy Rain","2020/1/11","2020/1/21"
"Missouri","Heavy Rain","2020/1/13","2020/1/25"
"Louisiana","Heavy Rain","2020/1/2","2020/1/2"
"West Virginia","Heavy Rain","2020/1/25","2020/1/25"
"Ohio","Heavy Rain","2020/1/24","2020/1/25"
"Maine","Ice Jam","2020/1/20","2020/1/20"
"Arkansas","Heavy Rain","2020/3/24","2020/3/24"
"Michigan","Heavy Rain","2020/1/11","2020/1/14"
"Nebraska","Heavy Rain","2020/6/8","2020/6/8"
"Illinois","Heavy Rain","2020/1/11","2020/1/12"
"Alabama","Heavy Rain","2020/2/18","2020/2/18"
"Tennessee","Heavy Rain","2020/1/11","2020/1/11"
"Virginia","Heavy Rain","2020/6/17","2020/6/18"
"Missouri","Heavy Rain","2020/1/18","2020/1/18"
"Virginia","Heavy Rain","2020/6/20","2020/6/20"
"New Mexico","Heavy Rain","2020/7/22","2020/7/22"
"Missouri","Heavy Rain","2020/1/17","2020/1/17"
"Missouri","Heavy Rain","2020/1/17","2020/1/18"
"Illinois","Heavy Rain","2020/7/1","2020/7/1"
"Indiana","Heavy Rain","2020/1/11","2020/1/11"
"Oklahoma","Heavy Rain","2020/1/10","2020/1/10"
"Ohio","Heavy Rain","2020/1/25","2020/1/25"
"Illinois","Heavy Rain","2020/3/27","2020/3/28"
"Virginia","Heavy Rain","2020/1/25","2020/1/25"
"Arkansas","Heavy Rain","2020/1/10","2020/1/11"
