"STATE","FLOOD_CAUSE","BEGIN_DATE_TIME","END_DATE_TIME"
"Missouri","Heavy Rain","2020/5/12","2020/5/13"
"Virginia","Heavy Rain","2020/5/24","2020/5/25"
"Missouri","Heavy Rain","2020/5/24","2020/5/25"
"Indiana","Heavy Rain","2020/5/22","2020/5/29"
"Indiana","Heavy Rain","2020/5/22","2020/5/30"
"Indiana","Heavy Rain","2020/5/22","2020/5/27"
"Indiana","Heavy Rain","2020/5/22","2020/5/26"
"Indiana","Heavy Rain","2020/5/19","2020/5/26"
"Texas","Heavy Rain","2020/5/24","2020/5/25"
"Kentucky","Heavy Rain","2020/5/19","2020/5/20"
"Texas","Heavy Rain","2020/5/23","2020/5/23"
"Wisconsin","Heavy Rain","2020/5/17","2020/5/26"
"Ohio","Heavy Rain","2020/5/1","2020/5/31"
"Illinois","Heavy Rain","2020/5/17","2020/5/18"
"North Carolina","Heavy Rain","2020/5/20","2020/5/21"
"Texas","Heavy Rain","2020/5/12","2020/5/12"
"Indiana","Heavy Rain","2020/5/20","2020/5/27"
"Indiana","Heavy Rain","2020/5/17","2020/5/17"
"Wisconsin","Heavy Rain","2020/5/1","2020/5/1"
"Maryland","Heavy Rain","2020/12/5","2020/12/5"
"Virginia","Heavy Rain","2020/5/3","2020/5/4"
"Missouri","Heavy Rain","2020/5/28","2020/5/28"
"Missouri","Heavy Rain","2020/5/18","2020/5/18"
"Texas","Heavy Rain","2020/5/21","2020/5/21"
"West Virginia","Heavy Rain","2020/5/1","2020/5/1"
"West Virginia","Heavy Rain","2020/5/1","2020/5/2"
"Maryland","Heavy Rain","2020/5/1","2020/5/1"
"Arkansas","Heavy Rain","2020/5/15","2020/5/15"
"Mississippi","Heavy Rain","2020/2/10","2020/2/10"
"Kentucky","Heavy Rain","2020/4/13","2020/4/13"
"California","Heavy Rain","2020/4/5","2020/4/5"
"Michigan","Heavy Rain","2020/4/29","2020/4/30"
"Indiana","Heavy Rain","2020/4/25","2020/4/25"
"Mississippi","Heavy Rain","2020/1/2","2020/1/2"
"Alabama","Heavy Rain","2020/2/6","2020/2/6"
"Indiana","Heavy Rain","2020/4/1","2020/4/6"
"Indiana","Heavy Rain","2020/4/1","2020/4/3"
"Indiana","Heavy Rain","2020/4/1","2020/4/5"
"Illinois","Heavy Rain","2020/4/1","2020/4/8"
"Illinois","Heavy Rain","2020/4/1","2020/4/7"
"Illinois","Heavy Rain","2020/4/1","2020/4/11"
"Missouri","Heavy Rain","2020/4/25","2020/4/25"
"Illinois","Heavy Rain","2020/4/30","2020/4/30"
"Illinois","Heavy Rain","2020/4/29","2020/4/30"
"Alabama","Heavy Rain","2020/4/12","2020/4/13"
"Louisiana","Heavy Rain","2020/4/19","2020/4/19"
"Mississippi","Heavy Rain","2020/1/3","2020/1/3"
"Illinois","Heavy Rain","2020/4/1","2020/4/6"
"Illinois","Heavy Rain","2020/4/1","2020/4/5"
"Illinois","Heavy Rain","2020/4/1","2020/4/4"
"Missouri","Heavy Rain","2020/4/1","2020/4/11"
"Missouri","Heavy Rain","2020/4/28","2020/4/28"
"Wisconsin","Heavy Rain / Snow Melt","2020/4/2","2020/4/12"
"Wisconsin","Heavy Rain / Snow Melt","2020/4/1","2020/4/2"
"Pennsylvania","Heavy Rain","2020/6/23","2020/6/23"
"Wisconsin","Heavy Rain / Snow Melt","2020/4/1","2020/4/4"
"Montana","Heavy Rain / Snow Melt","2020/4/1","2020/4/2"
"Illinois","Heavy Rain","2020/4/1","2020/4/30"
"Illinois","Heavy Rain","2020/4/26","2020/4/26"
"Iowa","Heavy Rain / Snow Melt","2020/4/1","2020/4/17"
"Iowa","Heavy Rain / Snow Melt","2020/4/3","2020/4/16"
"Tennessee","Heavy Rain","2020/6/29","2020/6/29"
"Arkansas","Heavy Rain","2020/4/1","2020/4/30"
"Hawaii","Heavy Rain","2020/4/6","2020/4/6"
"Mississippi","Heavy Rain","2020/1/14","2020/1/14"
"Wisconsin","Heavy Rain","2020/4/29","2020/4/30"
"Illinois","Heavy Rain","2020/4/28","2020/4/28"
"Arkansas","Heavy Rain","2020/4/1","2020/4/20"
"Arkansas","Heavy Rain","2020/4/1","2020/4/8"
"Arkansas","Heavy Rain","2020/4/1","2020/4/6"
"Arkansas","Heavy Rain","2020/4/1","2020/4/1"
"Arkansas","Heavy Rain","2020/4/1","2020/4/10"
"Arkansas","Heavy Rain","2020/4/13","2020/4/23"
"Arkansas","Heavy Rain","2020/4/21","2020/4/21"
"Arkansas","Heavy Rain","2020/4/24","2020/4/30"
"Arkansas","Heavy Rain","2020/4/23","2020/4/24"
"Tennessee","Heavy Rain","2020/4/12","2020/4/12"
"Minnesota","Heavy Rain / Tropical System","2020/4/2","2020/4/15"
"Arkansas","Heavy Rain","2020/4/24","2020/4/29"
"Arkansas","Heavy Rain","2020/4/29","2020/4/30"
"Arkansas","Heavy Rain","2020/4/30","2020/4/30"
"Louisiana","Heavy Rain","2020/2/10","2020/2/10"
"Alabama","Heavy Rain","2020/4/13","2020/4/13"
"Alabama","Heavy Rain","2020/4/12","2020/4/12"
"Wisconsin","Heavy Rain / Snow Melt","2020/4/1","2020/4/30"
"Illinois","Heavy Rain","2020/4/28","2020/4/30"
"North Carolina","Heavy Rain","2020/6/11","2020/6/11"
"Texas","Heavy Rain","2020/4/3","2020/4/3"
"Louisiana","Heavy Rain","2020/4/22","2020/4/22"
"Virginia","Heavy Rain","2020/4/29","2020/4/29"
"Wisconsin","Heavy Rain","2020/4/30","2020/4/30"
"Maine","Ice Jam","2020/4/5","2020/4/9"
"Georgia","Heavy Rain","2020/4/23","2020/4/24"
"North Carolina","Heavy Rain","2020/4/30","2020/4/30"
"Missouri","Heavy Rain","2020/4/8","2020/4/8"
"Kansas","Heavy Rain","2020/6/21","2020/6/21"
"North Carolina","Heavy Rain","2020/6/19","2020/6/19"
"Mississippi","Heavy Rain","2020/1/13","2020/1/13"
"Puerto Rico","Heavy Rain","2020/4/5","2020/4/6"
"Puerto Rico","Heavy Rain","2020/4/8","2020/4/8"
"Kentucky","Heavy Rain","2020/4/29","2020/4/29"
"California","Heavy Rain","2020/4/7","2020/4/10"
"North Carolina","Heavy Rain","2020/6/19","2020/6/20"
"North Carolina","Heavy Rain","2020/6/17","2020/6/17"
"California","Heavy Rain","2020/4/7","2020/4/9"
"California","Heavy Rain","2020/4/8","2020/4/9"
"Louisiana","Heavy Rain","2020/1/14","2020/1/14"
"Massachusetts","Heavy Rain","2020/8/23","2020/8/23"
"California","Heavy Rain","2020/4/8","2020/4/10"
"California","Heavy Rain","2020/4/9","2020/4/10"
"Mississippi","Heavy Rain","2020/2/18","2020/2/18"
"Maine","Heavy Rain / Snow Melt","2020/4/14","2020/4/14"
"Wisconsin","Heavy Rain","2020/6/9","2020/6/10"
"Tennessee","Heavy Rain","2020/4/12","2020/4/13"
"Tennessee","Heavy Rain","2020/4/13","2020/4/13"
"California","Heavy Rain","2020/4/17","2020/4/17"
"California","Heavy Rain","2020/4/18","2020/4/18"
"Pennsylvania","Heavy Rain","2020/4/30","2020/4/30"
"Texas","Heavy Rain","2020/4/12","2020/4/12"
"North Carolina","Heavy Rain","2020/4/13","2020/4/13"
"New York","Heavy Rain","2020/4/30","2020/4/30"
"Kansas","Heavy Rain","2020/4/11","2020/4/12"
"Missouri","Heavy Rain","2020/7/27","2020/7/27"
"Missouri","Heavy Rain","2020/1/11","2020/1/11"
"Michigan","Heavy Rain","2020/1/11","2020/1/12"
"Texas","Heavy Rain","2020/1/16","2020/1/16"
"South Dakota","Ice Jam","2020/1/18","2020/1/25"
"South Dakota","Ice Jam","2020/1/21","2020/1/22"
"Iowa","Heavy Rain","2020/3/29","2020/3/31"
"West Virginia","Heavy Rain","2020/5/28","2020/5/28"
"Texas","Heavy Rain","2020/1/10","2020/1/10"
"Kentucky","Heavy Rain","2020/1/11","2020/1/11"
"North Carolina","Heavy Rain","2020/1/11","2020/1/12"
"Texas","Heavy Rain","2020/1/10","2020/1/11"
"South Dakota","Heavy Rain / Snow Melt","2020/1/1","2020/1/31"
"Indiana","Heavy Rain","2020/4/7","2020/4/7"
"North Carolina","Heavy Rain","2020/1/11","2020/1/11"
"Hawaii","Heavy Rain","2020/1/11","2020/1/11"
"Missouri","Heavy Rain","2020/1/10","2020/1/10"
"Kentucky","Heavy Rain","2020/1/12","2020/1/16"
"Illinois","Heavy Rain","2020/1/13","2020/1/25"
"Illinois","Heavy Rain","2020/1/13","2020/1/24"
"Massachusetts","Heavy Rain","2020/8/27","2020/8/27"
"Michigan","Heavy Rain","2020/1/14","2020/1/21"
"Alabama","Heavy Rain","2020/4/23","2020/4/23"
"Hawaii","Heavy Rain","2020/1/11","2020/1/12"
"Illinois","Heavy Rain","2020/1/12","2020/1/21"
"Illinois","Heavy Rain","2020/1/12","2020/1/29"
"Illinois","Heavy Rain","2020/1/12","2020/1/28"
"Illinois","Heavy Rain","2020/1/11","2020/1/14"
"Illinois","Ice Jam","2020/1/21","2020/1/22"
"Maine","Heavy Rain / Snow Melt","2020/4/14","2020/4/15"
"Indiana","Heavy Rain","2020/1/12","2020/1/27"
"Indiana","Heavy Rain","2020/1/12","2020/1/28"
"Illinois","Heavy Rain","2020/1/12","2020/1/25"
"Illinois","Heavy Rain","2020/1/12","2020/1/18"
"Washington","Heavy Rain / Snow Melt","2020/1/28","2020/1/31"
"South Dakota","Ice Jam","2020/1/11","2020/1/31"
"California","Heavy Rain","2020/1/16","2020/1/16"
"Indiana","Heavy Rain","2020/1/10","2020/1/25"
"Indiana","Heavy Rain","2020/1/12","2020/1/29"
"Kentucky","Heavy Rain","2020/1/12","2020/1/24"
"Illinois","Heavy Rain","2020/1/11","2020/1/31"
"Idaho","Heavy Rain / Snow Melt","2020/1/1","2020/1/1"
"Texas","Heavy Rain","2020/4/22","2020/4/22"
"Oklahoma","Heavy Rain","2020/4/22","2020/4/22"
"Illinois","Heavy Rain","2020/1/2","2020/1/30"
"Illinois","Heavy Rain","2020/1/2","2020/1/31"
"Wisconsin","Ice Jam","2020/1/1","2020/1/2"
"North Carolina","Heavy Rain","2020/1/12","2020/1/12"
"Wisconsin","Heavy Rain / Snow Melt","2020/1/1","2020/1/31"
"Maine","Heavy Rain / Snow Melt","2020/4/14","2020/4/18"
"Missouri","Heavy Rain","2020/1/11","2020/1/12"
"Missouri","Heavy Rain","2020/1/13","2020/1/13"
"Minnesota","Heavy Rain / Snow Melt","2020/4/1","2020/4/15"
"Missouri","Heavy Rain","2020/1/11","2020/1/13"
"Kentucky","Heavy Rain","2020/4/1","2020/4/8"
"Kentucky","Heavy Rain","2020/4/1","2020/4/9"
"Kentucky","Heavy Rain","2020/4/1","2020/4/6"
"Kentucky","Heavy Rain","2020/4/1","2020/4/7"
"Kentucky","Heavy Rain","2020/4/1","2020/4/5"
"Missouri","Heavy Rain","2020/4/1","2020/4/30"
"Illinois","Heavy Rain","2020/1/10","2020/1/11"
"Alaska","Ice Jam","2020/1/9","2020/1/15"
"Illinois","Heavy Rain","2020/1/11","2020/1/11"
"Montana","Ice Jam","2020/1/15","2020/1/22"
"Alaska","Ice Jam","2020/1/1","2020/1/16"
"Indiana","Heavy Rain","2020/1/11","2020/1/23"
"West Virginia","Heavy Rain","2020/5/20","2020/5/21"
"Missouri","Heavy Rain","2020/5/27","2020/5/27"
"Pennsylvania","Heavy Rain","2020/3/28","2020/3/28"
"Iowa","Heavy Rain","2020/5/28","2020/5/28"
"Michigan","Heavy Rain","2020/5/18","2020/5/22"
"Alabama","Heavy Rain","2020/5/23","2020/5/23"
"Wisconsin","Heavy Rain","2020/4/29","2020/4/29"
"California","Heavy Rain","2020/4/10","2020/4/10"
"West Virginia","Heavy Rain","2020/4/8","2020/4/8"
"Virginia","Heavy Rain","2020/4/13","2020/4/14"
"Massachusetts","Heavy Rain","2020/6/28","2020/6/28"
"Florida","Heavy Rain","2020/5/26","2020/5/28"
"Michigan","Heavy Rain","2020/5/18","2020/5/20"
"South Dakota","Heavy Rain","2020/3/29","2020/3/31"
"Illinois","Heavy Rain","2020/5/28","2020/5/28"
"Ohio","Heavy Rain","2020/5/20","2020/5/22"
"Ohio","Heavy Rain","2020/5/21","2020/5/23"
"Rhode Island","Heavy Rain","2020/6/28","2020/6/28"
"Missouri","Heavy Rain","2020/5/22","2020/5/22"
"Missouri","Heavy Rain","2020/5/26","2020/5/26"
"Iowa","Heavy Rain","2020/5/29","2020/5/30"
"Iowa","Heavy Rain","2020/3/28","2020/3/31"
"North Carolina","Heavy Rain","2020/5/19","2020/5/19"
"California","Heavy Rain","2020/4/6","2020/4/6"
"West Virginia","Heavy Rain","2020/5/21","2020/5/21"
"Michigan","Dam / Levee Break","2020/5/18","2020/5/19"
"Nebraska","Heavy Rain","2020/5/25","2020/5/25"
"Ohio","Heavy Rain","2020/5/20","2020/5/23"
"Alabama","Heavy Rain","2020/4/19","2020/4/19"
"South Dakota","Heavy Rain / Snow Melt","2020/4/2","2020/4/12"
"Florida","Heavy Rain","2020/5/17","2020/5/17"
"Florida","Heavy Rain","2020/5/21","2020/5/21"
"Michigan","Heavy Rain","2020/5/28","2020/5/28"
"North Carolina","Heavy Rain","2020/5/20","2020/5/20"
"Ohio","Heavy Rain","2020/4/8","2020/4/9"
"West Virginia","Heavy Rain","2020/5/22","2020/5/22"
"South Dakota","Heavy Rain / Snow Melt","2020/4/1","2020/4/3"
"Indiana","Heavy Rain","2020/6/28","2020/6/28"
"Illinois","Heavy Rain","2020/6/30","2020/6/30"
"Florida","Heavy Rain","2020/5/24","2020/5/24"
"Florida","Heavy Rain","2020/5/10","2020/5/10"
"Maine","Heavy Rain / Snow Melt","2020/5/1","2020/5/1"
"West Virginia","Heavy Rain","2020/5/20","2020/5/20"
"Georgia","Heavy Rain","2020/4/19","2020/4/20"
"Florida","Heavy Rain","2020/6/7","2020/6/7"
"Ohio","Heavy Rain","2020/6/3","2020/6/3"
"Illinois","Heavy Rain","2020/6/1","2020/6/7"
"Illinois","Heavy Rain","2020/6/1","2020/6/5"
"Illinois","Heavy Rain","2020/6/1","2020/6/1"
"Georgia","Heavy Rain","2020/4/12","2020/4/13"
"Washington","Heavy Rain","2020/5/19","2020/5/19"
"Texas","Heavy Rain","2020/5/26","2020/5/26"
"West Virginia","Heavy Rain","2020/4/13","2020/4/13"
"Ohio","Heavy Rain","2020/5/20","2020/5/20"
"Florida","Heavy Rain","2020/4/11","2020/4/11"
"Maryland","Heavy Rain","2020/4/30","2020/4/30"
"West Virginia","Heavy Rain","2020/4/30","2020/4/30"
"Alaska","Ice Jam","2020/4/30","2020/4/30"
"Alaska","Ice Jam","2020/4/27","2020/4/30"
"Georgia","Heavy Rain","2020/6/12","2020/6/12"
"Texas","Heavy Rain","2020/5/22","2020/5/23"
"Iowa","Heavy Rain","2020/5/17","2020/5/30"
"Iowa","Heavy Rain","2020/5/18","2020/5/30"
"Iowa","Heavy Rain","2020/5/18","2020/5/31"
"Oklahoma","Heavy Rain","2020/5/4","2020/5/4"
"Texas","Heavy Rain","2020/5/8","2020/5/9"
"American Samoa","Heavy Rain","2020/4/10","2020/4/10"
"Michigan","Heavy Rain","2020/4/30","2020/4/30"
"Georgia","Heavy Rain","2020/4/13","2020/4/13"
"Oklahoma","Heavy Rain","2020/5/26","2020/5/29"
"Iowa","Heavy Rain","2020/5/18","2020/5/19"
"Iowa","Heavy Rain","2020/5/26","2020/5/28"
"Indiana","Heavy Rain","2020/5/16","2020/5/16"
"West Virginia","Heavy Rain","2020/4/13","2020/4/14"
"California","Heavy Rain","2020/4/7","2020/4/7"
"Oklahoma","Heavy Rain","2020/5/26","2020/5/31"
"Oklahoma","Heavy Rain","2020/5/15","2020/5/17"
"Texas","Heavy Rain","2020/5/12","2020/5/13"
"California","Heavy Rain","2020/4/8","2020/4/8"
"Arizona","Heavy Rain","2020/4/12","2020/4/12"
"New Hampshire","Heavy Rain / Snow Melt","2020/4/14","2020/4/14"
"California","Heavy Rain","2020/4/9","2020/4/9"
"South Dakota","Heavy Rain / Snow Melt","2020/5/1","2020/5/31"
"New Jersey","Heavy Rain","2020/8/4","2020/8/4"
"New York","Heavy Rain","2020/8/13","2020/8/13"
"Oklahoma","Heavy Rain","2020/5/15","2020/5/18"
"Oklahoma","Heavy Rain","2020/5/27","2020/5/27"
"Ohio","Heavy Rain","2020/5/22","2020/5/22"
"Puerto Rico","Heavy Rain","2020/4/7","2020/4/8"
"New Hampshire","Heavy Rain / Snow Melt","2020/4/13","2020/4/13"
"New Hampshire","Heavy Rain / Snow Melt","2020/4/13","2020/4/14"
"Georgia","Heavy Rain","2020/4/20","2020/4/20"
"Georgia","Heavy Rain","2020/4/29","2020/4/30"
"North Carolina","Heavy Rain","2020/6/16","2020/6/16"
"North Carolina","Heavy Rain","2020/5/20","2020/5/22"
"Iowa","Heavy Rain / Snow Melt","2020/3/9","2020/3/9"
"West Virginia","Heavy Rain","2020/3/28","2020/3/28"
"Maine","Heavy Rain / Snow Melt","2020/4/4","2020/4/4"
"Iowa","Heavy Rain / Snow Melt","2020/4/11","2020/4/16"
"Texas","Heavy Rain","2020/6/28","2020/6/28"
"Indiana","Heavy Rain","2020/5/24","2020/5/24"
"Pennsylvania","Heavy Rain","2020/3/28","2020/3/29"
"Idaho","Heavy Rain","2020/5/17","2020/5/17"
"Missouri","Heavy Rain","2020/8/2","2020/8/3"
"Missouri","Heavy Rain","2020/8/8","2020/8/9"
"Illinois","Heavy Rain / Snow Melt","2020/4/11","2020/4/16"
"Illinois","Heavy Rain","2020/8/9","2020/8/9"
"American Samoa","Heavy Rain","2020/2/16","2020/2/16"
"Michigan","Heavy Rain","2020/6/1","2020/6/30"
"Wisconsin","Heavy Rain","2020/6/30","2020/6/30"
"Wisconsin","Heavy Rain / Tropical System","2020/6/10","2020/6/10"
"Pennsylvania","Heavy Rain","2020/3/20","2020/3/20"
"Oklahoma","Heavy Rain","2020/4/28","2020/4/28"
"South Dakota","Heavy Rain","2020/5/1","2020/5/31"
"North Carolina","Heavy Rain","2020/6/21","2020/6/21"
"North Carolina","Heavy Rain","2020/6/30","2020/6/30"
"Texas","Heavy Rain","2020/2/12","2020/2/12"
"Virginia","Heavy Rain","2020/2/6","2020/2/7"
"Kentucky","Heavy Rain","2020/2/13","2020/2/13"
"West Virginia","Heavy Rain","2020/2/11","2020/2/11"
"Hawaii","Heavy Rain","2020/2/6","2020/2/6"
"Virginia","Heavy Rain","2020/8/5","2020/8/5"
"North Carolina","Heavy Rain","2020/8/6","2020/8/6"
"Kentucky","Heavy Rain","2020/2/12","2020/2/12"
"Kentucky","Heavy Rain","2020/2/15","2020/2/21"
"Kentucky","Heavy Rain","2020/2/14","2020/2/15"
"Kentucky","Heavy Rain","2020/2/13","2020/2/16"
"Virginia","Heavy Rain","2020/2/7","2020/2/10"
"Indiana","Heavy Rain","2020/6/10","2020/6/10"
"West Virginia","Heavy Rain","2020/2/13","2020/2/13"
"West Virginia","Heavy Rain","2020/2/13","2020/2/14"
"Oregon","Heavy Rain / Snow Melt","2020/2/6","2020/2/8"
"Oregon","Heavy Rain / Snow Melt","2020/2/7","2020/2/8"
"Kentucky","Heavy Rain","2020/2/12","2020/2/26"
"Missouri","Heavy Rain","2020/2/4","2020/2/4"
"Texas","Heavy Rain","2020/6/19","2020/6/19"
"Virginia","Heavy Rain","2020/2/6","2020/2/8"
"Arkansas","Heavy Rain","2020/2/12","2020/2/12"
"Florida","Heavy Rain","2020/2/1","2020/2/1"
"Washington","Heavy Rain / Snow Melt","2020/2/6","2020/2/9"
"Washington","Heavy Rain / Snow Melt","2020/2/7","2020/2/7"
"Washington","Heavy Rain / Snow Melt","2020/2/7","2020/2/8"
"Kentucky","Heavy Rain","2020/2/12","2020/2/27"
"Kentucky","Heavy Rain","2020/2/10","2020/2/28"
"Kentucky","Planned Dam Release","2020/2/12","2020/2/26"
"Tennessee","Heavy Rain","2020/2/6","2020/2/6"
"Ohio","Heavy Rain","2020/2/13","2020/2/14"
"South Dakota","Planned Dam Release","2020/2/1","2020/2/10"
"South Dakota","Heavy Rain / Snow Melt","2020/2/1","2020/2/12"
"South Dakota","Heavy Rain / Snow Melt","2020/2/1","2020/2/20"
"Tennessee","Heavy Rain","2020/2/12","2020/2/12"
"Florida","Heavy Rain","2020/2/5","2020/2/5"
"Missouri","Heavy Rain","2020/2/12","2020/2/13"
"South Dakota","Heavy Rain / Snow Melt","2020/2/1","2020/2/19"
"Arizona","Heavy Rain","2020/2/23","2020/2/23"
"Missouri","Heavy Rain","2020/5/24","2020/5/24"
"Alabama","Heavy Rain","2020/2/7","2020/2/29"
"Alabama","Heavy Rain","2020/2/9","2020/2/29"
"Alabama","Heavy Rain","2020/2/12","2020/2/29"
"Kentucky","Heavy Rain","2020/2/6","2020/2/6"
"Arizona","Heavy Rain","2020/2/22","2020/2/22"
"Maryland","Heavy Rain","2020/8/8","2020/8/8"
"Virginia","Heavy Rain","2020/8/11","2020/8/11"
"Ohio","Heavy Rain","2020/2/13","2020/2/15"
"Idaho","Heavy Rain / Snow Melt","2020/5/22","2020/5/22"
"Idaho","Heavy Rain / Snow Melt","2020/5/20","2020/5/22"
"Illinois","Heavy Rain","2020/6/27","2020/6/27"
"Missouri","Heavy Rain","2020/2/13","2020/2/13"
"Missouri","Heavy Rain","2020/2/24","2020/2/24"
"Ohio","Heavy Rain","2020/2/1","2020/2/29"
"Alaska","Heavy Rain","2020/12/1","2020/12/2"
"Virginia","Heavy Rain","2020/2/7","2020/2/8"
"Virginia","Heavy Rain","2020/2/7","2020/2/7"
"Missouri","Heavy Rain","2020/2/24","2020/2/25"
"West Virginia","Heavy Rain","2020/2/12","2020/2/16"
"West Virginia","Heavy Rain","2020/2/14","2020/2/15"
"Wisconsin","Heavy Rain / Snow Melt","2020/2/1","2020/2/29"
"North Carolina","Heavy Rain","2020/2/6","2020/2/8"
"Texas","Heavy Rain","2020/2/20","2020/2/20"
"Nebraska","Ice Jam","2020/2/15","2020/2/15"
"Kentucky","Heavy Rain","2020/2/6","2020/2/9"
"Virginia","Heavy Rain","2020/8/12","2020/8/12"
"Virginia","Heavy Rain","2020/8/13","2020/8/13"
"Arkansas","Heavy Rain","2020/2/4","2020/2/29"
"Mississippi","Heavy Rain","2020/2/11","2020/2/11"
"Arkansas","Heavy Rain","2020/2/18","2020/2/18"
"Arizona","Heavy Rain","2020/2/22","2020/2/26"
"Virginia","Heavy Rain","2020/8/14","2020/8/14"
"South Dakota","Heavy Rain / Snow Melt","2020/2/1","2020/2/29"
"South Dakota","Heavy Rain / Snow Melt","2020/2/1","2020/2/22"
"Arkansas","Heavy Rain","2020/2/1","2020/2/29"
"Arkansas","Heavy Rain","2020/2/1","2020/2/2"
"Arkansas","Heavy Rain","2020/2/1","2020/2/1"
"Arkansas","Heavy Rain","2020/2/5","2020/2/27"
"Indiana","Heavy Rain","2020/2/12","2020/2/12"
"Kentucky","Heavy Rain","2020/2/4","2020/2/4"
"Kentucky","Heavy Rain","2020/2/4","2020/2/27"
"Puerto Rico","Heavy Rain","2020/2/24","2020/2/24"
"Arkansas","Heavy Rain","2020/2/9","2020/2/20"
"Arkansas","Heavy Rain","2020/2/13","2020/2/14"
"Arkansas","Heavy Rain","2020/2/12","2020/2/14"
"Arkansas","Heavy Rain","2020/2/11","2020/2/28"
"Arkansas","Heavy Rain","2020/2/13","2020/2/13"
"Arkansas","Heavy Rain","2020/2/18","2020/2/19"
"Arkansas","Heavy Rain","2020/2/27","2020/2/29"
"Kentucky","Heavy Rain","2020/2/12","2020/2/24"
"Missouri","Heavy Rain","2020/2/12","2020/2/29"
"Illinois","Heavy Rain","2020/2/7","2020/2/29"
"South Dakota","Heavy Rain / Snow Melt","2020/2/26","2020/2/29"
"Tennessee","Heavy Rain","2020/2/6","2020/2/7"
"Pennsylvania","Heavy Rain","2020/2/1","2020/2/29"
"Kentucky","Planned Dam Release","2020/2/11","2020/2/28"
"Illinois","Heavy Rain","2020/2/8","2020/2/29"
"Illinois","Heavy Rain","2020/2/9","2020/2/28"
"Florida","Heavy Rain","2020/2/26","2020/2/26"
"Tennessee","Heavy Rain","2020/2/11","2020/2/11"
"Kentucky","Heavy Rain","2020/2/5","2020/2/5"
"Kentucky","Heavy Rain","2020/2/5","2020/2/6"
"Texas","Heavy Rain","2020/2/21","2020/2/26"
"Illinois","Heavy Rain","2020/2/12","2020/2/27"
"Virginia","Heavy Rain","2020/2/6","2020/2/9"
"Georgia","Heavy Rain","2020/2/19","2020/2/21"
"South Dakota","Ice Jam","2020/2/13","2020/2/17"
"New York","Heavy Rain","2020/6/20","2020/6/20"
"Illinois","Heavy Rain","2020/2/11","2020/2/27"
"Illinois","Heavy Rain","2020/2/1","2020/2/1"
"Illinois","Heavy Rain","2020/2/1","2020/2/3"
"Illinois","Heavy Rain","2020/2/13","2020/2/20"
"Illinois","Heavy Rain","2020/2/13","2020/2/21"
"Iowa","Heavy Rain","2020/6/22","2020/6/25"
"Iowa","Heavy Rain","2020/6/25","2020/6/25"
"Texas","Heavy Rain","2020/6/20","2020/6/20"
"Kentucky","Heavy Rain","2020/2/6","2020/2/7"
"Illinois","Heavy Rain","2020/6/21","2020/6/21"
"Indiana","Heavy Rain","2020/2/13","2020/2/20"
"Indiana","Heavy Rain","2020/2/12","2020/2/21"
"Indiana","Heavy Rain","2020/2/11","2020/2/20"
"Indiana","Heavy Rain","2020/2/13","2020/2/21"
"West Virginia","Heavy Rain","2020/2/7","2020/2/7"
"North Carolina","Heavy Rain","2020/6/12","2020/6/12"
"Indiana","Heavy Rain","2020/2/15","2020/2/21"
"Indiana","Heavy Rain","2020/2/11","2020/2/23"
"Indiana","Heavy Rain","2020/2/13","2020/2/25"
"Illinois","Heavy Rain","2020/6/29","2020/6/29"
"Kentucky","Heavy Rain","2020/7/26","2020/7/26"
"Ohio","Heavy Rain","2020/7/30","2020/7/30"
"Wisconsin","Heavy Rain","2020/7/8","2020/7/9"
"Indiana","Heavy Rain","2020/7/31","2020/7/31"
"Minnesota","Heavy Rain / Snow Melt","2020/3/4","2020/3/8"
"Iowa","Heavy Rain / Snow Melt","2020/3/6","2020/3/15"
"Iowa","Heavy Rain / Snow Melt","2020/3/6","2020/3/8"
"Pennsylvania","Heavy Rain","2020/7/6","2020/7/6"
"New Jersey","Heavy Rain","2020/7/6","2020/7/6"
"Arizona","Heavy Rain","2020/7/2","2020/7/2"
"Pennsylvania","Heavy Rain","2020/7/8","2020/7/8"
"Arkansas","Heavy Rain","2020/7/9","2020/7/9"
"Connecticut","Heavy Rain","2020/7/3","2020/7/3"
"Arkansas","Heavy Rain","2020/7/2","2020/7/2"
"Arkansas","Heavy Rain","2020/7/2","2020/7/3"
"Tennessee","Heavy Rain","2020/7/25","2020/7/25"
"Kansas","Heavy Rain","2020/7/3","2020/7/3"
"South Dakota","Heavy Rain / Snow Melt","2020/3/8","2020/3/20"
"Minnesota","Heavy Rain","2020/6/29","2020/6/30"
"North Carolina","Heavy Rain","2020/7/13","2020/7/13"
"Indiana","Heavy Rain","2020/6/4","2020/6/4"
"Massachusetts","Heavy Rain","2020/7/6","2020/7/6"
"Tennessee","Heavy Rain","2020/7/12","2020/7/12"
"Arkansas","Heavy Rain","2020/7/1","2020/7/21"
"Kansas","Heavy Rain","2020/7/26","2020/7/26"
"Kansas","Heavy Rain","2020/7/29","2020/7/29"
"New York","Heavy Rain","2020/7/11","2020/7/11"
"Michigan","Heavy Rain","2020/7/10","2020/7/11"
"Missouri","Heavy Rain","2020/7/30","2020/7/31"
"Montana","Heavy Rain","2020/7/23","2020/7/23"
"Pennsylvania","Heavy Rain","2020/7/24","2020/7/24"
"Arizona","Heavy Rain / Burn Area","2020/7/22","2020/7/22"
