"FATALITY_ID","EVENT_ID","FATALITY_DATE","FATALITY_AGE","FATALITY_SEX","FATALITY_LOCATION","FATALITY_MONTH"
43053,944573,2021-02-15,NA,"","Unknown","February"
42821,945961,2021-02-15,NA,"","Unknown","February"
43143,945966,2021-02-16,11,"M","Permanent Home","February"
43144,945966,2021-02-16,58,"M","Permanent Home","February"
43145,945966,2021-02-20,77,"F","Permanent Home","February"
43152,945983,2021-02-15,61,"M","Unknown","February"
43154,945983,2021-02-16,77,"F","Unknown","February"
43155,945983,2021-02-21,68,"F","Unknown","February"
43166,945985,2021-02-16,74,"M","Unknown","February"
43167,945985,2021-02-16,88,"F","Unknown","February"
43168,945985,2021-02-16,50,"M","Unknown","February"
43169,945985,2021-02-16,89,"F","Unknown","February"
43170,945985,2021-02-19,72,"M","Unknown","February"
43171,945985,2021-02-22,51,"M","Unknown","February"
43129,945986,2021-02-17,76,"M","Mobile/Trailer Home","February"
43105,945986,2021-02-12,55,"M","Outside/Open Areas","February"
43111,945986,2021-02-15,60,"M","Outside/Open Areas","February"
43130,945986,2021-02-18,56,"M","Outside/Open Areas","February"
43131,945986,2021-02-18,77,"F","Outside/Open Areas","February"
43132,945986,2021-02-19,61,"M","Outside/Open Areas","February"
43139,945986,2021-02-17,86,"M","Outside/Open Areas","February"
43100,945986,2021-02-17,86,"F","Permanent Home","February"
43101,945986,2021-02-18,79,"F","Permanent Home","February"
43102,945986,2021-02-18,100,"F","Permanent Home","February"
43103,945986,2021-02-18,48,"M","Permanent Home","February"
43104,945986,2021-02-18,43,"F","Permanent Home","February"
43106,945986,2021-02-13,52,"M","Permanent Home","February"
43107,945986,2021-02-14,56,"M","Permanent Home","February"
43108,945986,2021-02-14,72,"M","Permanent Home","February"
43109,945986,2021-02-15,47,"F","Permanent Home","February"
43113,945986,2021-02-15,46,"F","Permanent Home","February"
43114,945986,2021-02-15,7,"F","Permanent Home","February"
43115,945986,2021-02-16,84,"F","Permanent Home","February"
43116,945986,2021-02-16,64,"F","Permanent Home","February"
43117,945986,2021-02-16,75,"M","Permanent Home","February"
43118,945986,2021-02-16,61,"M","Permanent Home","February"
43119,945986,2021-02-16,69,"F","Permanent Home","February"
43120,945986,2021-02-16,60,"M","Permanent Home","February"
43121,945986,2021-02-16,81,"M","Permanent Home","February"
43122,945986,2021-02-16,88,"F","Permanent Home","February"
43124,945986,2021-02-17,8,"F","Permanent Home","February"
43127,945986,2021-02-17,71,"M","Permanent Home","February"
43128,945986,2021-02-17,97,"F","Permanent Home","February"
43133,945986,2021-02-19,72,"M","Permanent Home","February"
43134,945986,2021-02-19,86,"M","Permanent Home","February"
43135,945986,2021-02-20,87,"F","Permanent Home","February"
43136,945986,2021-02-22,64,"M","Permanent Home","February"
43137,945986,2021-02-16,23,"M","Permanent Home","February"
43138,945986,2021-02-16,65,"M","Permanent Home","February"
43126,945986,2021-02-17,47,"M","Vehicle/Towed Trailer","February"
42822,945993,2021-02-16,NA,"","Unknown","February"
42823,945993,2021-02-16,NA,"","Unknown","February"
42824,945993,2021-02-16,NA,"","Unknown","February"
42825,946006,2021-02-15,NA,"","Unknown","February"
42581,936658,2021-03-04,32,"M","In Water","March"
42894,938148,2021-03-14,NA,"","Church","March"
42503,940257,2021-03-14,NA,"M","Under Tree","March"
42510,940481,2021-03-29,31,"F","Vehicle/Towed Trailer","March"
42895,940484,2021-03-27,40,"M","Outside/Open Areas","March"
42570,941485,2021-03-28,21,"M","Boating","March"
42571,941485,2021-03-28,21,"M","Boating","March"
42901,941492,2021-03-27,46,"F","Mobile/Trailer Home","March"
42559,941526,2021-03-31,42,"M","In Water","March"
42560,941526,2021-03-31,49,"M","In Water","March"
42561,941611,2021-03-26,1,"M","Under Tree","March"
42569,941936,2021-03-22,37,"M","Outside/Open Areas","March"
42607,942229,2021-03-15,35,"M","Outside/Open Areas","March"
42602,943055,2021-03-16,54,"M","In Water","March"
42604,943056,2021-03-28,42,"M","In Water","March"
42735,945162,2021-03-10,57,"M","Other","March"
42900,950931,2021-03-10,30,"F","Vehicle/Towed Trailer","March"
42940,951940,2021-03-28,65,"M","Vehicle/Towed Trailer","March"
42946,951956,2021-03-27,64,"M","Outside/Open Areas","March"
42947,951956,2021-03-27,46,"F","Outside/Open Areas","March"
42948,951956,2021-03-27,NA,"M","Outside/Open Areas","March"
42949,951956,2021-03-27,70,"M","Vehicle/Towed Trailer","March"
42950,951956,2021-03-27,65,"M","Outside/Open Areas","March"
42951,952206,2021-04-20,32,"M","Vehicle/Towed Trailer","April"
43165,951891,2021-03-27,46,"F","Outside/Open Areas","March"
42929,951836,2021-02-15,NA,"","Unknown","February"
42930,951836,2021-02-15,70,"M","Permanent Home","February"
42999,954745,2021-02-07,NA,"M","In Water","February"
43004,954747,2021-02-07,56,"M","In Water","February"
43002,954748,2021-01-24,54,"M","In Water","January"
43003,954749,2021-02-28,NA,"M","Unknown","February"
43005,954750,2021-03-02,58,"F","In Water","March"
43006,954751,2021-03-03,42,"M","In Water","March"
43007,954752,2021-03-03,41,"M","In Water","March"
43012,954753,2021-03-28,65,"M","In Water","March"
43010,954755,2021-03-31,48,"F","In Water","March"
43011,954756,2021-03-28,NA,"M","In Water","March"
43156,957428,2021-02-03,96,"F","Vehicle/Towed Trailer","February"
42506,937996,2021-01-31,57,"M","Outside/Open Areas","January"
42928,943810,2021-02-15,91,"F","Mobile/Trailer Home","February"
43153,945983,2021-02-22,51,"M","Unknown","February"
43110,945986,2021-02-15,51,"M","Outside/Open Areas","February"
43112,945986,2021-02-15,62,"M","Permanent Home","February"
43125,945986,2021-02-17,49,"M","Permanent Home","February"
43123,945986,2021-02-17,87,"F","Permanent Home","February"
42740,945984,2021-02-16,NA,"","Unknown","February"
42489,937844,2021-02-15,66,"M","Outside/Open Areas","February"
42839,938856,2021-02-15,NA,"M","Outside/Open Areas","February"
43236,939586,2021-02-17,NA,"","Vehicle/Towed Trailer","February"
43330,944502,2021-02-06,NA,"","Unknown","February"
43331,944502,2021-02-15,NA,"","Unknown","February"
42728,945339,2021-02-06,67,"F","Outside/Open Areas","February"
44790,988478,2021-12-11,66,"M","Vehicle/Towed Trailer","December"
44787,989353,2021-12-11,63,"F","In Water","December"
43763,963050,2021-05-06,36,"F","Outside/Open Areas","May"
43764,963053,2021-05-13,36,"M","Outside/Open Areas","May"
45642,989666,2021-12-15,58,"M","Vehicle/Towed Trailer","December"
44804,990219,2021-12-25,2,"M","Vehicle/Towed Trailer","December"
44816,990512,2021-12-18,55,"F","Vehicle/Towed Trailer","December"
45816,992210,2021-12-15,36,"M","Outside/Open Areas","December"
45212,993131,2021-12-27,NA,"","Vehicle/Towed Trailer","December"
45211,993132,2021-12-26,NA,"","Vehicle/Towed Trailer","December"
45210,993144,2021-12-27,NA,"","Outside/Open Areas","December"
45227,993812,2021-12-15,NA,"","Vehicle/Towed Trailer","December"
45865,994281,2021-12-15,95,"M","Vehicle/Towed Trailer","December"
45419,995013,2021-12-15,NA,"M","Under Tree","December"
45582,996337,2021-12-20,75,"M","Outside/Open Areas","December"
45655,996845,2021-12-11,62,"M","Vehicle/Towed Trailer","December"
45812,994196,2021-12-10,66,"F","Mobile/Trailer Home","December"
49736,995999,2021-12-10,70,"M","Permanent Home","December"
45780,996014,2021-12-10,72,"F","Mobile/Trailer Home","December"
45814,994196,2021-12-10,0,"","Unknown","December"
49748,995999,2021-12-10,67,"M","Unknown","December"
45731,994038,2021-12-10,57,"M","Mobile/Trailer Home","December"
44264,976772,2021-08-30,19,"M","Outside/Open Areas","August"
44276,977355,2021-09-04,NA,"F","Unknown","September"
45809,994196,2021-12-10,4,"M","Mobile/Trailer Home","December"
45810,994196,2021-12-10,60,"F","Mobile/Trailer Home","December"
45811,994196,2021-12-10,44,"M","Mobile/Trailer Home","December"
45801,994196,2021-12-10,3,"M","Permanent Home","December"
45802,994196,2021-12-10,87,"M","Permanent Home","December"
45803,994196,2021-12-10,77,"F","Permanent Home","December"
45756,994199,2021-12-10,83,"F","Outside/Open Areas","December"
45755,994199,2021-12-10,78,"F","Permanent Home","December"
45757,994954,2021-12-12,98,"F","Permanent Home","December"
45759,995882,2021-12-10,72,"F","Mobile/Trailer Home","December"
45760,995882,2021-12-10,69,"M","Mobile/Trailer Home","December"
45758,995882,2021-12-10,73,"M","Permanent Home","December"
45761,995882,2021-12-10,67,"M","Permanent Home","December"
49743,995999,2021-12-10,67,"F","Unknown","December"
49742,995999,2021-12-10,86,"M","Mobile/Trailer Home","December"
49735,995999,2021-12-10,65,"F","Permanent Home","December"
49737,995999,2021-12-10,69,"F","Permanent Home","December"
49738,995999,2021-12-10,80,"F","Permanent Home","December"
49739,995999,2021-12-10,71,"F","Permanent Home","December"
49740,995999,2021-12-10,60,"M","Permanent Home","December"
49741,995999,2021-12-10,78,"F","Permanent Home","December"
49744,995999,2021-12-12,0,"F","Permanent Home","December"
49745,995999,2021-12-10,74,"F","Permanent Home","December"
49746,995999,2021-12-10,34,"M","Permanent Home","December"
49747,995999,2021-12-10,54,"M","Permanent Home","December"
49749,995999,2021-12-30,84,"M","Permanent Home","December"
45778,996014,2021-12-10,0,"M","Mobile/Trailer Home","December"
45779,996014,2021-12-10,73,"M","Mobile/Trailer Home","December"
45781,996014,2021-12-10,50,"M","Permanent Home","December"
45782,996014,2021-12-10,74,"F","Permanent Home","December"
45783,996014,2021-12-10,43,"M","Permanent Home","December"
45784,996014,2021-12-10,36,"M","Permanent Home","December"
43215,962841,2021-07-07,47,"M","Vehicle/Towed Trailer","July"
43216,962841,2021-07-07,16,"F","Vehicle/Towed Trailer","July"
43217,962841,2021-07-07,17,"F","Vehicle/Towed Trailer","July"
43218,962841,2021-07-07,17,"M","Vehicle/Towed Trailer","July"
43235,964040,2021-07-24,NA,"M","Outside/Open Areas","July"
43240,964357,2021-07-30,37,"M","Under Tree","July"
43267,965659,2021-07-19,73,"M","Boating","July"
43320,965726,2021-07-07,25,"M","Vehicle/Towed Trailer","July"
43315,966938,2021-07-16,NA,"","Outside/Open Areas","July"
43340,968181,2021-07-17,25,"F","Vehicle/Towed Trailer","July"
44206,970692,2021-07-28,17,"M","Outside/Open Areas","July"
44266,971685,2021-07-20,57,"F","Permanent Home","July"
44267,971685,2021-07-20,61,"M","Permanent Home","July"
44268,971685,2021-07-20,59,"F","Permanent Home","July"
44269,971685,2021-07-20,85,"M","Permanent Home","July"
44196,974349,2021-07-25,30,"F","Vehicle/Towed Trailer","July"
44197,974349,2021-07-25,6,"M","Vehicle/Towed Trailer","July"
44198,974349,2021-07-25,2,"M","Vehicle/Towed Trailer","July"
44199,974349,2021-07-25,37,"M","Vehicle/Towed Trailer","July"
44200,974349,2021-07-25,12,"M","Vehicle/Towed Trailer","July"
44201,974349,2021-07-25,51,"M","Vehicle/Towed Trailer","July"
44202,974349,2021-07-25,47,"F","Vehicle/Towed Trailer","July"
44203,974349,2021-07-25,15,"M","Vehicle/Towed Trailer","July"
44174,974534,2021-07-21,9,"M","Vehicle/Towed Trailer","July"
44170,974779,2021-07-24,51,"M","In Water","July"
44211,974808,2021-07-08,49,"M","Boating","July"
44179,975107,2021-07-04,NA,"M","In Water","July"
44205,975118,2021-07-16,33,"M","In Water","July"
44207,975361,2021-07-17,58,"M","In Water","July"
44248,975739,2021-07-30,66,"F","Mobile/Trailer Home","July"
44236,976304,2021-07-09,NA,"","In Water","July"
44237,976304,2021-07-09,NA,"","In Water","July"
44238,976304,2021-07-09,NA,"","In Water","July"
44239,976304,2021-07-09,NA,"","In Water","July"
45673,997138,2021-12-27,NA,"","Other","December"
45903,997205,2021-12-25,NA,"","Outside/Open Areas","December"
45727,997207,2021-12-11,65,"M","Unknown","December"
45728,997207,2021-12-11,42,"F","Unknown","December"
45729,997207,2021-12-11,67,"M","Unknown","December"
45713,997207,2021-12-11,27,"M","Permanent Home","December"
45714,997207,2021-12-11,77,"F","Permanent Home","December"
45715,997207,2021-12-11,64,"F","Permanent Home","December"
45716,997207,2021-12-11,36,"F","Permanent Home","December"
45717,997207,2021-12-11,35,"M","Permanent Home","December"
45718,997207,2021-12-11,16,"F","Permanent Home","December"
45719,997207,2021-12-11,NA,"M","Permanent Home","December"
45720,997207,2021-12-11,4,"M","Permanent Home","December"
45721,997207,2021-12-11,13,"F","Permanent Home","December"
45722,997207,2021-12-11,NA,"F","Permanent Home","December"
45723,997207,2021-12-11,NA,"M","Permanent Home","December"
45724,997207,2021-12-11,NA,"F","Permanent Home","December"
45725,997207,2021-12-11,0,"F","Permanent Home","December"
45726,997207,2021-12-11,0,"F","Permanent Home","December"
45691,997247,2021-12-11,42,"F","Mobile/Trailer Home","December"
45694,997495,2021-12-15,84,"M","Outside/Open Areas","December"
45695,997532,2021-12-28,72,"F","Vehicle/Towed Trailer","December"
45835,997644,2021-12-17,71,"M","Vehicle/Towed Trailer","December"
45789,998055,2021-12-02,1,"F","Vehicle/Towed Trailer","December"
45790,998613,2021-12-11,NA,"M","Outside/Open Areas","December"
45791,998616,2021-12-21,NA,"","Vehicle/Towed Trailer","December"
45831,999210,2021-12-11,NA,"M","Vehicle/Towed Trailer","December"
45850,999690,2021-12-17,17,"M","Outside/Open Areas","December"
45851,999690,2021-12-17,17,"M","Outside/Open Areas","December"
45849,999822,2021-12-25,30,"M","Unknown","December"
45871,1000242,2021-12-28,62,"M","In Water","December"
45905,1001314,2021-12-14,15,"M","Vehicle/Towed Trailer","December"
44240,976304,2021-07-09,NA,"","In Water","July"
42358,932613,2021-01-03,7,"F","In Water","January"
42359,932613,2021-01-03,4,"M","In Water","January"
42360,932613,2021-01-03,40,"M","In Water","January"
42361,932614,2021-01-10,NA,"F","In Water","January"
42362,932615,2021-01-10,NA,"M","In Water","January"
42364,932626,2021-01-18,12,"M","In Water","January"
42848,946829,2021-01-08,35,"M","Outside/Open Areas","January"
44241,976304,2021-07-09,NA,"","In Water","July"
44242,976304,2021-07-09,NA,"","In Water","July"
44243,976304,2021-07-09,NA,"","In Water","July"
44244,976304,2021-07-09,NA,"","In Water","July"
43033,956174,2021-04-11,70,"M","Vehicle/Towed Trailer","April"
44140,960613,2021-07-16,71,"M","Golfing","July"
44329,967830,2021-07-29,29,"M","Vehicle/Towed Trailer","July"
45785,996014,2021-12-10,34,"F","Permanent Home","December"
45786,996014,2021-12-10,34,"M","Permanent Home","December"
45787,996014,2021-12-10,62,"F","Permanent Home","December"
45777,996014,2021-12-10,52,"F","Permanent Structure","December"
46411,982337,2021-08-18,31,"F","Vehicle/Towed Trailer","August"
42898,951050,2021-03-28,61,"F","In Water","March"
42962,954336,2021-04-24,2,"","Permanent Home","April"
42963,954408,2021-06-10,NA,"M","In Water","June"
43177,957582,2021-05-04,49,"F","Mobile/Trailer Home","May"
44850,960532,2021-05-17,33,"M","Vehicle/Towed Trailer","May"
44851,960542,2021-05-17,40,"M","Vehicle/Towed Trailer","May"
43259,965283,2021-06-09,63,"M","In Water","June"
43260,965289,2021-06-06,57,"M","In Water","June"
44109,971731,2021-08-24,60,"M","Heavy Equipment/Construction","August"
44245,976232,2021-07-22,4,"F","Vehicle/Towed Trailer","July"
44247,976546,2021-07-29,13,"M","In Water","July"
44501,976591,2021-07-06,32,"M","Outside/Open Areas","July"
44811,976592,2021-07-06,NA,"M","Outside/Open Areas","July"
44812,976592,2021-07-06,34,"M","Outside/Open Areas","July"
44813,976592,2021-07-06,25,"M","Outside/Open Areas","July"
44254,976593,2021-07-10,44,"M","Outside/Open Areas","July"
44771,976594,2021-07-10,24,"M","Outside/Open Areas","July"
44772,976595,2021-07-21,27,"M","Outside/Open Areas","July"
44773,976595,2021-07-21,28,"M","Outside/Open Areas","July"
46397,982265,2021-08-17,74,"M","Outside/Open Areas","August"
46398,982265,2021-08-17,75,"M","Outside/Open Areas","August"
46394,982265,2021-08-17,86,"M","Vehicle/Towed Trailer","August"
46395,982265,2021-08-17,73,"F","Vehicle/Towed Trailer","August"
46396,982265,2021-08-17,83,"F","Vehicle/Towed Trailer","August"
44442,982536,2021-08-21,61,"F","Unknown","August"
44443,982536,2021-08-21,53,"F","Unknown","August"
44445,982536,2021-08-21,7,"F","Unknown","August"
44446,982536,2021-08-21,15,"F","Unknown","August"
44447,982536,2021-08-21,16,"M","Unknown","August"
44449,982536,2021-08-21,35,"M","Unknown","August"
44450,982536,2021-08-21,49,"M","Unknown","August"
44452,982536,2021-08-21,57,"M","Unknown","August"
44453,982536,2021-08-21,58,"M","Unknown","August"
44454,982536,2021-08-21,59,"F","Unknown","August"
44455,982536,2021-08-21,60,"F","Unknown","August"
44456,982536,2021-08-21,67,"M","Unknown","August"
44448,982536,2021-08-21,22,"F","Business","August"
44440,982536,2021-08-21,1,"M","Outside/Open Areas","August"
44441,982536,2021-08-21,1,"F","Outside/Open Areas","August"
44439,982536,2021-08-21,2,"M","Permanent Home","August"
44444,982536,2021-08-21,55,"F","Permanent Home","August"
44451,982536,2021-08-21,51,"F","Permanent Home","August"
44457,982536,2021-08-21,57,"F","Permanent Home","August"
44459,982537,2021-08-21,70,"M","Outside/Open Areas","August"
46399,1027405,2021-08-17,68,"M","Outside/Open Areas","August"
45197,983830,2021-08-14,56,"F","In Water","August"
45196,983830,2021-08-14,45,"M","Vehicle/Towed Trailer","August"
44517,983877,2021-08-31,61,"M","In Water","August"
44518,983877,2021-08-31,NA,"F","In Water","August"
44546,983936,2021-08-18,44,"M","In Water","August"
48148,1067086,2021-07-21,NA,"","Unknown","July"
48093,1067087,2021-07-22,NA,"","Unknown","July"
48091,1067088,2021-07-23,NA,"","Unknown","July"
48092,1067088,2021-07-23,NA,"","Unknown","July"
48094,1067089,2021-07-22,NA,"","Unknown","July"
48095,1067090,2021-07-23,NA,"","Unknown","July"
48096,1067092,2021-07-27,NA,"","Unknown","July"
48097,1067092,2021-07-27,NA,"","Unknown","July"
48098,1067093,2021-07-28,NA,"","Unknown","July"
48099,1067093,2021-07-28,NA,"","Unknown","July"
48100,1067094,2021-07-29,NA,"","Unknown","July"
48102,1067096,2021-07-30,NA,"","Unknown","July"
48145,1067137,2021-07-30,31,"F","Outside/Open Areas","July"
48149,1067146,2021-07-21,90,"M","Vehicle/Towed Trailer","July"
48147,1067086,2021-07-21,NA,"","Unknown","July"
45804,994196,2021-12-10,50,"M","Mobile/Trailer Home","December"
47957,1066909,2021-07-03,NA,"","Unknown","July"
47972,1066915,2021-07-08,NA,"","Unknown","July"
48127,1066920,2021-07-10,NA,"","Unknown","July"
48139,1066920,2021-07-13,NA,"","Unknown","July"
48031,1066924,2021-07-10,NA,"","Unknown","July"
48068,1067078,2021-07-19,NA,"","Unknown","July"
48088,1067081,2021-07-22,NA,"","Unknown","July"
47958,1066909,2021-07-03,NA,"","Unknown","July"
48137,1066920,2021-07-13,NA,"","Unknown","July"
48078,1067079,2021-07-20,NA,"","Unknown","July"
45805,994196,2021-12-10,80,"F","Mobile/Trailer Home","December"
45806,994196,2021-12-10,31,"M","Mobile/Trailer Home","December"
45807,994196,2021-12-10,31,"F","Mobile/Trailer Home","December"
45813,994196,2021-12-10,60,"F","Unknown","December"
45792,994196,2021-12-10,47,"M","Long Span Roof","December"
45793,994196,2021-12-10,50,"F","Long Span Roof","December"
45794,994196,2021-12-10,21,"M","Long Span Roof","December"
45795,994196,2021-12-10,52,"F","Long Span Roof","December"
45796,994196,2021-12-10,36,"M","Long Span Roof","December"
45797,994196,2021-12-10,57,"F","Long Span Roof","December"
45798,994196,2021-12-10,51,"M","Long Span Roof","December"
