"EVENT_ID","LOCATION","LATITUDE","LONGITUDE"
948472,"Edgewater",28.54,-80.57
948473,"Cape Canaveral",28.3587,-80.6535
948475,"Melbourne",28.1,-80.64
948476,"Cape Canaveral",28.54,-80.57
948477,"Valkaria",27.96,-80.53
948479,"Vero Beach",27.6551,-80.4053
948480,"Buoy 41009",28.52,-80.17
948481,"Sebastian Inlet",27.8162,-80.4912
948483,"St. Lucie Nuclear Power Plant",27.35,-80.24
948485,"Ft. Pierce Inlet",27.46,-80.3
948486,"Stuart",27.22,-80.2
948487,"Stuart",27.22,-80.2
948489,"Stuart",27.18,-80.22
948491,"Stuart",27.16,-80.19
948492,"Tequesta",27.06,-80.14
948457,"Pageland",34.77,-80.39
948803,"Fairvilla",28.58,-81.39
948805,"Winter Park",28.6,-81.34
948807,"Maitland",28.63,-81.35
948810,"Golden Rod",28.62,-81.29
948815,"Gabriella",28.62,-81.27
948831,"Gabriella",28.64,-81.25
948833,"Fern Park",28.66,-81.31
948834,"Union Park",28.61,-81.22
948838,"Gabriella",28.63,-81.26
948842,"Oviedo",28.65,-81.2
948843,"Fern Park",28.65,-81.29
948844,"Chuluota Sem Rnch Ar",28.65,-81.17
948846,"Valkaria",27.96,-80.53
948848,"Micco",27.86,-80.44
948861,"Ft Pierce St Lucie a",27.5,-80.38
948862,"Ankona",27.35,-80.24
948863,"Waveland",27.22,-80.2
948864,"Waveland",27.22,-80.2
948866,"Stuart Witham Fld",27.18,-80.22
948867,"Gomez",27.05,-80.17
948869,"Salerno",27.16,-80.19
948870,"Hobe Sound",27.06,-80.14
948871,"Gomez",27.1,-80.17
948874,"Hobe Sound",27.05,-80.13
948876,"Jensen Beach",27.23,-80.22
948880,"Port Sewall",27.17,-80.21
954153,"Tunkhannock",41.54,-75.95
954156,"Clarks Green",41.5,-75.7
954157,"Dalton",41.54,-75.74
954158,"Archbald",41.51,-75.54
954162,"Mayfield",41.53,-75.53
948860,"Ormond Beach",29.41,-81.11
948865,"Ormond Beach",29.42,-81.12
948868,"Ormond Beach",29.4423,-81.1093
948889,"Playalinda Beach",28.61,-80.67
948890,"Playalinda Beach",28.64,-80.75
948891,"Vero Beach",27.66,-80.41
948892,"Stuart",27.1998,-80.1657
948897,"Ormond by the Sea",29.41,-81.11
948916,"Ridgewood",40.9999,-74.1241
948917,"Hillsdale Manor",41.0208,-74.0628
948918,"Woodside",40.75,-73.94
948919,"New York",40.69,-74
948953,"Broadway",40.7645,-73.8303
948946,"Georgetown",41.24,-73.45
948936,"Station Robn4",40.66,-74.07
948940,"Bayonne Wxflow",40.7038,-74.0533
948942,"Jones Beach Wxflow",40.612,-73.421
948943,"Amityville Wxflow",40.658,-73.4045
948944,"Fire Island Wxflow",40.6497,-73.3024
948945,"Eatons Neck Wxflow",40.95,-73.4
949001,"Ft Fairfield",46.7744,-67.8164
949001,"Ft Fairfield",46.7664,-67.8152
949001,"Ft Fairfield",46.77,-67.7979
952091,"Lake Clarke Shrs",26.81,-80.06
952092,"Boca Raton",26.3685,-80.0834
952093,"Gulf Stream",26.4981,-80.0539
952094,"Cutler Ridge",25.5617,-80.3512
952095,"Perrine",25.6,-80.36
952096,"Deerfield Beach",26.33,-80.13
952098,"Wellington",26.67,-80.22
952099,"Ocean Ridge",26.54,-80.09
952100,"Palm Spgs North",25.92,-80.34
952101,"Palm Spgs North",25.92,-80.34
956763,"Boca Raton",26.372,-80.0856
949646,"Wiggins Pass",26.13,-81.81
949652,"Jupiter Inlet",26.893,-80.0566
949653,"Port of Palm Beach",26.6128,-80.035
949656,"Boca Raton",26.4013,-80.0603
949657,"Government Cut",25.75,-80.1
949660,"Jupiter Inlet",26.912,-80.0732
949664,"Elliot Key",25.59,-80.1
949665,"Key Biscayne",25.71,-80.21
949667,"Port Everglades",26.26,-80.08
949668,"Key Biscayne",25.77,-80.15
949669,"Key Biscayne",25.66,-80.19
949670,"Port Everglades",26.06,-80.11
949671,"Port Everglades",26.0852,-80.1151
949672,"Key Biscayne",25.77,-80.15
949673,"Port Everglades",26.06,-80.13
949674,"Port Mayaca",26.96,-80.94
949675,"Buckhead Ridge",27.14,-80.79
949676,"Port Mayaca",26.9,-80.79
949677,"Kreamer Island",26.82,-80.78
949678,"Port Everglades",26.1,-80.12
949682,"Port of Palm Beach",26.64,-80.04
949688,"Buckhead Ridge",27.13,-80.89
949683,"Gorham",38.92,-98.94
949685,"Sylvan Grove",39.01,-98.37
949001,"Ft Fairfield",46.7959,-67.792
949001,"Stevenville",46.7992,-67.809
949015,"Bayonne Wxflow",40.702,-74.037
949025,"Station Sdhn4",40.467,-74.009
954680,"Mattituck Inlet",40.9745,-72.7147
949027,"Granby",42.26,-72.53
949028,"Barnes Arpt Wst",42.15,-72.74
949029,"Agawam",42.07,-72.62
949031,"Ingleside",42.1776,-72.6199
949031,"Westovr Afb Chi",42.2192,-72.5277
949032,"Gilbertville",42.3122,-72.2006
949034,"Ingleside",42.1782,-72.6486
949036,"Norwich Bridge",42.2589,-72.8722
949037,"Leicester",42.2443,-71.9104
949039,"Barre Hiller Fld Arp",42.3484,-72.1281
949041,"Woronoco",42.1503,-72.8459
949045,"Congamond",42.0363,-72.7671
949045,"Southwick",42.049,-72.7394
949046,"West Warren",42.2117,-72.246
949020,"North Canton",41.9043,-72.8482
949021,"Pegville",41.9858,-72.7835
949022,"Whitacres",42.0153,-72.5593
949024,"West Suffield",42,-72.69
949053,"Fruitland Park",28.8463,-81.9148
949059,"Vero Beach",27.69,-80.37
949144,"Livingston",37.3011,-84.2192
949145,"Quinton",36.93,-84.6
949146,"Fariston",37.0822,-84.0475
949147,"Old Lndg",37.66,-83.8
949148,"Wolverine",37.5738,-83.4116
949149,"Oneida",37.2709,-83.6482
949158,"Ponza",36.7232,-83.6425
949163,"Middlesboro Bell Arp",36.6427,-83.7345
949164,"Bert",37.1235,-83.9734
949165,"Frozen Creek",37.6,-83.42
949166,"Fall Rock",37.2303,-83.7831
949167,"Oakdale",37.5568,-83.5167
949168,"Bloomington",37.82,-83.13
949169,"Wessell",36.7612,-83.6024
949170,"Whick",37.4201,-83.3723
949191,"Erose",36.9503,-83.6506
949288,"Sunbright",36.24,-84.67
949289,"Helenwood",36.44,-84.53
949291,"Fogal",36.47,-84.52
949292,"Clairfield",36.55,-83.95
949295,"Kilsyth",36.44,-84.08
949296,"Sunbright",36.24,-84.67
949297,"Oneida",36.53,-84.5
949299,"Norma",36.3392,-84.397
949299,"Norma",36.356,-84.3859
949300,"Dean",36.3593,-84.3747
949300,"Dean",36.3791,-84.3521
949306,"Cordell",36.3112,-84.4537
949306,"Bull Creek",36.3349,-84.4164
949883,"Talala",36.5289,-95.7012
949906,"Osage",36.3094,-96.4132
949907,"Osage",36.338,-96.437
949908,"Osage",36.3304,-96.4512
949909,"Oologah Lake South",36.5573,-95.4878
949911,"Bristow",35.8812,-96.3169
949916,"Chance",36.0919,-94.6916
949917,"Alderson",34.9,-95.68
949918,"Krebs",34.92,-95.7377
949919,"Warner",35.5,-95.3178
949920,"Dow",34.899,-95.58
949921,"Muskogee",35.7091,-95.3196
949923,"Ft Towson",34.02,-95.27
949884,"Clifty",36.23,-93.8
949890,"Altus",35.4319,-93.7594
949891,"Eureka Spgs",36.3566,-93.73
949895,"Fayetteville Ar",36,-94.17
949897,"Cincinnati",36.03,-94.5
949899,"Tontitown",36.18,-94.23
949901,"Ft Smith",35.38,-94.42
949618,"Elliot Key",25.33,-80.15
949621,"Boca Raton",26.2551,-79.9974
952083,"Palm Beach Arpt",26.6818,-80.1496
952084,"Wellington",26.6522,-80.1972
952085,"Jupiter",26.95,-80.09
952086,"Loxahatchee",26.73,-80.35
952087,"Jupiter",26.93,-80.2
952088,"North Palm Beach",26.83,-80.08
952089,"Florida Gardens",26.62,-80.17
952090,"Greenacres City",26.64,-80.1
949686,"Pawnee Rock",38.29,-98.99
949689,"Pawnee Rock",38.3,-99
949690,"Great Bend",38.36,-98.75
949691,"Great Bend",38.38,-98.78
949692,"Great Bend",38.29,-98.76
949693,"Great Bend",38.35,-98.71
949694,"Great Bend",38.36,-98.79
949695,"Great Bend",38.38,-98.81
949696,"Ellinwood",38.36,-98.58
949702,"Lyons",38.35,-98.21
949703,"Marquette",38.55,-97.83
949749,"Future City",37.12,-89.18
949749,"Cairo",36.9733,-89.1661
949749,"Urbandale",37.0299,-89.1904
949749,"Future City",37.0919,-89.1946
949750,"Mound City",37.08,-89.1827
949750,"Mound City",37.0761,-89.1583
949750,"New Grand Chain",37.2126,-89.0005
949750,"New Grand Chain",37.2353,-89.0124
949751,"Carmi",38.08,-88.17
949751,"Brownsville",38.03,-88.2206
949751,"Herald",38.0062,-88.18
949751,"Carmi Muni Arpt",38.0826,-88.1279
949751,"Carmi Muni Arpt",38.1174,-88.1279
949752,"Mt Carbon",37.75,-89.3465
949752,"Mt Carbon",37.7456,-89.3435
949752,"Murphysboro",37.765,-89.3148
949752,"Murphysboro",37.7633,-89.3265
949753,"Gulf Jct",37.2539,-89.5013
949753,"Gulf Jct",37.2486,-89.5389
949753,"Egypt Mills",37.3642,-89.5151
981262,"Stanley",48.32,-102.41
981263,"Glenburn",48.51,-101.37
981264,"Amidon",46.61,-103.61
981265,"Mott Muni Arpt",46.2887,-102.3464
981274,"Burton",32.44,-80.72
981276,"Waddell Gardens",32.3985,-80.7406
981279,"Beaufort",32.4117,-80.691
981280,"Bluffton",32.2399,-80.8786
981281,"Waddell Gardens",32.4084,-80.7336
981282,"The Charleston Battery",32.7732,-79.9055
981342,"Toa Alta",18.3899,-66.249
981342,"Toa Alta",18.3685,-66.2652
981343,"San Sebastian",18.3213,-66.9144
981343,"San Sebastian",18.3036,-66.9286
981346,"Punta Tuna Lighthouse",17.9331,-65.9947
981346,"Punta Tuna Lighthouse",17.9426,-65.9282
981349,"Utuado",18.3081,-66.7126
981349,"Utuado",18.3155,-66.6864
981350,"Utuado",18.2759,-66.6594
981350,"Utuado",18.2849,-66.6347
981351,"Lares",18.2884,-66.8741
981351,"Lares",18.29,-66.8662
981352,"Utuado",18.2955,-66.7783
981352,"Utuado",18.291,-66.7667
952766,"Pocono Pines",41.12,-75.46
952767,"Bossardsville",40.93,-75.28
953995,"South New Hope",35.204,-93.1256
954002,"Morrilton",35.1356,-92.7563
954002,"Morrilton",35.1475,-92.7502
954002,"Lewisburg",35.1086,-92.7083
954002,"Lewisburg",35.1045,-92.7335
954020,"Black Rock",36.1086,-91.0945
954020,"Black Rock",36.1033,-91.0765
954020,"Black Rock",36.0865,-91.0973
954020,"Black Rock",36.0939,-91.111
954024,"Hardy",36.3319,-91.5101
954024,"Hardy",36.3096,-91.4526
954024,"Hardy",36.2988,-91.4622
954024,"Cherokee Vlg",36.3107,-91.5217
